Index	OTU	2D_ID	Channel_ID	Bottle_ID	Site_ID	Site_ID_1	Plate_ID	Position	Longitude	Latitude	Altitude	Altitude_1	Location	Setup_Site_Date	Distribution	Method	Tag	Collection_Date_formatted	Collection_Date_formatted_1	Year	Month	Collector	Image_File	Reverse_Complement_for_Papara	Sumaclust_97_OTU
1040	TMS|2.0033|Juncole13-94.fas|	144568933	140032	2.0033	14003	14003	JUN_COLE13	H10	98.80537	25.31363	1408	1400	Gaoligongshan Mountain,Baihualing	2014-5-15	NE	Malaise Trap	Didi	27 Jun 2014	27 Jun 2014	2014	6	Zhiguang Yang			OTU_0003 
1041	Juncole11-18	133681026	180012	2.0023	18001	18001	JUN_COLE11	B06	98.79670	25.29758	1823	1800	Gaoligongshan Mountain,Baihualing	2014-5-15	NE	Malaise Trap	Didi	13 Jun 2014	13 Jun 2014	2014	6	Zhiguang Yang			OTU_2039 
1042	GLGS7329-17|Corylophidae|143502235||Arthropoda|Insecta|Coleoptera|Corylophidae|||BOLD:ADJ0599	143502235	140012	2.0289	14001	14001	APR_COLE04	A10	98.80348	25.30637	1402	1400	Gaoligongshan Mountain,Baihualing	2014-5-16	NE	Malaise Trap	Didi	24 Apr 2015	24 Apr 2015	2015	4	Zhiguang Yang			OTU_0321 
1043	GLGS7336-17|Aderidae|143502222||Arthropoda|Insecta|Coleoptera|Aderidae|||BOLD:ADJ0397	143502222	180022	2.0288	18002	18002	APR_COLE04	B08	98.78954	25.30451	1811	1800	Gaoligongshan Mountain,Baihualing	2014-5-15	NE	Malaise Trap	Didi	17 Apr 2015	17 Apr 2015	2015	4	Zhiguang Yang			OTU_0670 
1044	TMS|2.0033|Juncole11-31.fas|	144568653	140032	2.0033	14003	14003	JUN_COLE11	C07	98.80537	25.31363	1408	1400	Gaoligongshan Mountain,Baihualing	2014-5-15	NE	Malaise Trap	Didi	27 Jun 2014	27 Jun 2014	2014	6	Zhiguang Yang			OTU_0032 
1045		143503159	180022	2.0186	18002	18002	DEC_COLE01	G11	98.78954	25.30451	1811	1800	Gaoligongshan Mountain,Baihualing	2014-5-15	NE	Malaise Trap	Didi	19 Dec 2014	19 Dec 2014	2014	12	Zhiguang Yang	89_21.jpg		
1046	TMS|2.0034|Juncole10-37.fas|	144566992	140042	2.0034	14004	14004	JUN_COLE10	D01	98.80422	25.31137	1438	1400	Gaoligongshan Mountain,Baihualing	2014-5-15	NE	Malaise Trap	Didi	27 Jun 2014	27 Jun 2014	2014	6	Zhiguang Yang			OTU_0024 
1047	GLGS10107-17|Anthribidae|133681907||Arthropoda|Insecta|Coleoptera|Anthribidae|||BOLD:ADJ1234	133681907	180022	2.0036	18002	18002	JUN_COLE10	A05	98.78954	25.30451	1811	1800	Gaoligongshan Mountain,Baihualing	2014-5-15	NE	Malaise Trap	Didi	27 Jun 2014	27 Jun 2014	2014	6	Zhiguang Yang			OTU_2180 
1048	TMS|2.0033|Juncole09-69.fas|	144568954	140032	2.0033	14003	14003	JUN_COLE09	F09	98.80537	25.31363	1408	1400	Gaoligongshan Mountain,Baihualing	2014-5-15	NE	Malaise Trap	Didi	27 Jun 2014	27 Jun 2014	2014	6	Zhiguang Yang			OTU_0108 
1049	Julycole05-45	132946504	140022	2.0038	14002	14002	JULY_COLE05	D09	98.79755	25.30981	1418	1400	Gaoligongshan Mountain,Baihualing	2014-5-16	NE	Malaise Trap	Didi	04 Jul 2014	04 Jul 2014	2014	7	Zhiguang Yang			OTU_0105 
1050	TMS|2.0045|Julycole14-20.fas|	143523070	140032	2.0045	14003	14003	JULY_COLE14	B08	98.80537	25.31363	1408	1400	Gaoligongshan Mountain,Baihualing	2014-5-15	NE	Malaise Trap	Didi	11 Jul 2014	11 Jul 2014	2014	7	Zhiguang Yang			OTU_0001 
1051	TMS|2.0032|Juncole11-36.fas|	144567969	140022	2.0032	14002	14002	JUN_COLE11	C12	98.79755	25.30981	1418	1400	Gaoligongshan Mountain,Baihualing	2014-5-16	NE	Malaise Trap	Didi	27 Jun 2014	27 Jun 2014	2014	6	Zhiguang Yang			OTU_0255 
1052	TMS|2.0019|Juncole16-21.fas|	144567461	140012	2.0019	14001	14001	JUN_COLE16	B09	98.80348	25.30637	1402	1400	Gaoligongshan Mountain,Baihualing	2014-5-16	NE	Malaise Trap	Didi	13 Jun 2014	13 Jun 2014	2014	6	Zhiguang Yang			OTU_0040 
1053	GLGS10460-17|Throscidae|133682301||Arthropoda|Insecta|Coleoptera|Throscidae|||BOLD:ADI7730	133682301	140012	2.0031	14001	14001	JUN_COLE15	E02	98.80348	25.30637	1402	1400	Gaoligongshan Mountain,Baihualing	2014-5-16	NE	Malaise Trap	Didi	27 Jun 2014	27 Jun 2014	2014	6	Zhiguang Yang			OTU_0009 
1054	TMS|2.0033|Juncole11-57.fas|	144568784	140032	2.0033	14003	14003	JUN_COLE11	E09	98.80537	25.31363	1408	1400	Gaoligongshan Mountain,Baihualing	2014-5-15	NE	Malaise Trap	Didi	27 Jun 2014	27 Jun 2014	2014	6	Zhiguang Yang			OTU_0032 
